Filtering the log data using "process == "GestioneViaggi""
Timestamp                       (process)[PID]    
2025-12-23 19:06:02.883205+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0x101793080] activating connection: mach=true listener=false peer=false name=com.apple.lsd.mapdb
2025-12-23 19:06:02.886623+0200  localhost GestioneViaggi[25402]: (libsystem_info.dylib) Created Activity ID: 0x2b16aa0, Description: Retrieve User by ID
2025-12-23 19:06:02.887670+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0x101799d60] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-12-23 19:06:02.887741+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0x10179a3a0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-12-23 19:06:02.890256+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0000] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.launchservicesd
2025-12-23 19:06:02.890869+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0140] activating connection: mach=true listener=false peer=false name=com.apple.pasteboard.1
2025-12-23 19:06:02.891690+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0280] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-12-23 19:06:03.435647+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSDisableAutomaticTerminationAndLog(NSString *) No windows open yet
2025-12-23 19:06:03.435836+0200  localhost GestioneViaggi[25402]: (TCC) Created Activity ID: 0x2b16aa1, Description: TCCAccessRequest() IPC
2025-12-23 19:06:03.435912+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0640] activating connection: mach=true listener=false peer=false name=com.apple.tccd.system
2025-12-23 19:06:03.438728+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0640] invalidated after the last release of the connection object
